52	3
53	3
54	3
55	3
56	3
57	3
58	3
65	3
66	3
67	3
68	2
69	2
70	1
71	1
72	2
73	2
74	2
81	2
82	2
83	2
84	2
85	2
86	3
87	3
88	1
89	1
90	1
97	1
98	3
99	3
100	1
101	1
102	2
103	2
104	2
105	2
106	2
113	3
114	3
115	2
116	2
117	2
118	3
119	3
120	1
121	3
122	3
129	3
130	2
131	2
132	2
133	2
134	1
135	1
136	2
137	2
138	2
145	2
146	2
147	2
148	1
149	1
150	1
151	1
152	2
153	3
154	2
161	3
162	2
163	2
164	1
165	1
166	1
167	1
168	2
169	2
170	3
177	3
178	3
179	3
180	3
181	3
182	3
183	3
184	1
185	1
186	1
193	1
194	1
195	1
196	2
197	2
198	2
199	2
200	2
201	2
202	2
209	2
210	1
211	1
212	2
213	2
214	2
215	3
216	3
217	3
218	3
225	3
226	3
227	3
228	3
229	3
230	3
231	1
232	1
233	1
234	2
241	3
242	2
243	3
244	2
245	2
246	2
247	3
248	1
249	1
250	3
257	3
258	3
259	3
260	1
261	1
262	2
263	2
264	3
265	2
266	2
273	3
274	1
275	1
276	1
277	1
278	1
279	1
280	2
281	2
282	2
289	3
290	2
291	3
292	3
293	3
294	1
295	1
296	1
297	1
298	3
305	3
306	3
307	2
308	3
309	3
310	3
311	3
312	3
313	1
314	3
321	3
322	3
323	3
324	3
325	3
326	1
327	1
328	1
329	1
330	1
337	1
338	3
339	3
340	3
341	3
342	3
343	3
344	3
345	3
346	3
353	1
354	3
355	3
356	2
357	3
358	2
359	2
360	3
361	3
362	3
369	3
370	1
371	1
372	1
373	1
374	3
375	3
376	3
377	3
378	3
385	3
386	2
387	3
388	3
389	3
390	2
391	2
392	2
393	2
394	2
401	2
402	2
403	3
404	3
405	3
406	2
407	2
408	2
409	2
410	3
417	1
418	2
419	2
420	2
421	2
422	2
423	2
424	3
425	3
426	2
433	2
434	2
435	2
436	1
437	1
438	1
439	1
440	3
441	1
442	2
449	3
450	1
451	1
452	1
453	1
454	3
455	3
456	3
457	1
458	1
465	3
466	1
467	1
468	1
469	1
470	2
471	3
472	1
473	1
474	1
481	1
482	2
483	3
484	2
485	2
486	2
487	2
488	2
489	2
490	2
497	2
498	3
499	1
500	2
501	2
502	2
503	2
504	2
505	2
506	3
513	3
514	2
515	2
516	1
517	1
518	2
519	2
520	2
521	2
522	3
529	3
530	2
531	3
532	3
533	3
534	3
535	3
536	3
537	3
538	3
545	2
546	3
547	3
548	3
549	2
550	2
551	3
552	3
553	2
554	3
561	3
562	2
563	2
564	2
565	3
566	3
567	1
568	1
569	1
570	2
577	2
578	3
579	3
580	2
581	2
582	3
583	2
584	1
585	1
586	2
593	2
594	1
595	1
596	1
597	1
598	2
599	2
600	2
601	2
602	1
609	1
610	1
611	1
612	2
613	2
614	3
615	3
616	2
617	2
618	2
625	2
626	3
627	3
628	2
629	3
630	3
631	3
632	3
633	3
634	3
641	3
642	3
643	3
644	1
645	3
646	3
647	3
648	1
649	1
650	1
657	1
658	2
659	2
660	2
661	2
662	2
663	2
664	3
665	3
666	3
673	2
674	2
675	3
676	3
677	3
678	2
679	2
680	2
681	3
682	3
689	3
690	1
691	1
692	1
693	1
694	3
695	1
696	1
697	1
698	2
705	3
706	2
707	2
708	2
709	2
710	2
711	2
712	3
713	3
714	1
721	3
722	3
723	3
724	3
725	3
726	3
727	2
728	2
729	2
730	1
737	3
738	3
739	3
740	3
741	1
742	3
743	2
744	2
745	2
746	3
753	3
754	1
755	3
756	3
757	3
758	3
759	3
760	3
761	3
762	2
769	3
770	3
771	3
772	3
773	3
774	3
775	3
776	3
777	3
778	3
785	3
786	3
787	3
788	3
789	3
790	3
791	2
792	3
793	3
794	1
801	1
802	1
803	1
804	3
805	3
806	3
807	1
